exam_name,question_number,question_text,A,B,C,D,correct_label,topic,subtopic,explanation
examreview_103462980,77,Which of these individuals is responsible for holding a California buyer's down payment funds until the transaction closes?,The buyer's attorney,The buyer's real estate agent,The escrow agent,The seller's real estate agent,C,Transfer of Property,Escrow,"The escrow agent is responsible for holding all escrow items, such as the buyer's down payment and documents related to the transaction."
examreview_103462980,78,For which of these situations will a California property be assessed property taxes for multiple base year values?,"Buffy and Bill have an older home in the mountains, and recently decided to have a contractor bring it up to code with seismic retrofits.","Elderly Martha now uses a wheelchair to get around, so she had some modifications made to her home to accommodate it.","Samantha needed more room for her growing cat family, so she had a contractor build an addition to the home she's owned for the past 10 years.","Will bought an older house, immediately tore it down, and constructed a new one.",C,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,Samantha's property will have two base years. The addition will receive a base year as of the date construction is completed. The base year for the rest of the property won't change. Certain types of improvements are exempt from reassessment.
examreview_103462980,79,"In which type of common interest subdivision do the owners have exclusive rights to a unit, as well as a shared interest in the common areas?",Condominium project,Planned development,Stock cooperative project,Timeshare,A,Property Ownership and Land Use Controls and Regulations,Types of Ownership,"This describes a condominium project. It may sound similar to a stock cooperative, but owners of that type of property attain ownership rights through a corporation and have exclusive occupancy rights."
examreview_103462980,80,Regina's mortgage payment arrives late one month. What language in the promissory note allows the lender to charge her a fee as a result?,Cross-default clause,Late charge provision,Lock-in clause,Partial release clause,B,Contracts,Promissory Notes/Securities,The promissory note includes a late charge provision to encourage borrowers to pay on time.
examreview_103462980,81,"A couple owns a property on a small island with six other property owners. Recently, the couple built a fishing pier along the water's edge; however, the pier is actually on their neighbor's property, which the couple has no rights to. What might this be an example of?",Easement,Encroachment,Estate,Eviction,B,Property Ownership and Land Use Controls and Regulations,Encumbrances,"An encroachment is when a building, shrub, fence, or other item illegally crosses over into another's property."
examreview_103462980,82,What is it called when a licensee tries to induce sales by predicting a decline in market value?,Assertive bargaining,False advertising,Harassment,Panic selling,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,"When a licensee tries to induce sales by predicting decline in market value, it is called panic selling or blockbusting and is illegal."
examreview_103462980,83,"A landlord with a strict ""no pets"" policy won't rent to a woman who uses a service animal to assist with her epilepsy. Which of the following is a true statement about this situation?",This is discrimination based on disability.,This is discrimination based on familial status.,This isn't discriminatory because service animals are restricted to people with visual impairments.,"This isn't discriminatory if the ""no pets"" policy is universally applied.",A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,"Service animals assisting any individual with a disability must be allowed in any housing or residential situation. They're not classified as pets, so even if there's a ""no pets"" policy, it wouldn't apply."
examreview_103462980,84,"Della has a new listing for a duplex. To fulfill her obligations as the seller's agent, she performs her diligent and reasonably competent inspection of the property, using the _________ to record her observations.",Agent Visual Inspection Disclosure,Property Condition Review,Seller Property Questionnaire,Seller Visual Inspection Disclosure,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Transfer Disclosure Statement,The Agent Visual Inspection Disclosure is a C.A.R. form that can be used by agents to document their required visual inspection of the property.
examreview_103462980,85,Five brokerage firms charge approximately the same listing compensation and pay approximately the same cooperating compensation to the selling broker. The compensation splits within each firm are also similar. Is this an antitrust violation?,"No. The similarities between compensation rates may be suspect, but the similarity between compensation splits doesn't matter.",Not necessarily. The fact that the firms' compensation rates and splits are similar doesn't necessarily mean they agreed to fix those values.,Yes. The fact that the firm's compensation rates and splits are so similar is a restraint of trade.,"Yes. The firms' internal compensation splits can be the same, but they can't all charge the same compensation rate. ",B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,Compensation rates may naturally fall into similar patterns in a given area without collusion between competitors; there must be evidence of an agreement to fix fees in order for this to be a violation.
examreview_103462980,86,"Olivia purchased a property five years ago for $200,000. She put down $50,000 and financed $150,000. Today, the property is valued at $250,000. She'd like to purchase another property, so she refinanced her current property and used the equity to purchase a new property. Of what is this an example?",Depreciation,Equity build-up,Pyramiding,Rate of return,C,"Practice of Real Estate and Disclosures, Including Specialty Areas",Commercial/Industrial/Income Properties,"Pyramiding makes use of one investment to finance another. This can be done through the sale or refinance of the first property, then using that equity to purchase another property."
examreview_103462980,87,"Which factor influences property value and addresses questions such as, ""What's the market like?"" and ""Are there more buyers than sellers, or vice versa?""",Demand,Scarcity,Transferability,Utility,A,Property Valuation and Financial Analysis,Value,Demand looks at the market and the number of buyers vs. sellers.
examreview_103462980,88,"David is an active duty member of the U.S. Air Force. Assuming he and the property meet the qualifications, which type of mortgage may be the best option for him?",A conventional loan,A Ginnie Mae-originated loan,An FHA loan,A VA-guaranteed loan,D,Financing,Government Programs,A VA-guaranteed loan may be a good option for David as an active duty member of the armed forces.
examreview_103462980,89,Neighboring firms agree that leads in one part of town will all be sent to only one of the firms. What type of antitrust violation is this?,Group boycotting,Market allocation,Price fixing,Tie-in arrangements,B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,"This agreement is a market allocation antitrust violation, and it unfairly limits consumers' options."
examreview_103462980,90,Which factor that influences value considers the property's function?,Demand,Scarcity,Transferability,Utility,D,Property Valuation and Financial Analysis,Value,Utility looks at the property's use or function.
examreview_103462980,91,"Generally, what's the common range for loan origination fees?",1% to 3%,1% to 5%,2% to 5%,3% to 5%,A,Financing,General Concepts,"Lenders usually charge a loan origination fee between 1% and 3%. Loan origination fees are nearly always negotiable, but most borrowers don't know this!"
examreview_103462980,92,What type of value may consumers be interested in if they are looking for the potential rate of return?,Assessed value,Insured value,Investment value,Value in use,C,Property Valuation and Financial Analysis,Value,Investment value relates to the expected rate of return on investment in a property.
examreview_103462980,93,What is established when the parties enter into an agreement voluntarily with a full understanding of the contract terms?,Consent,Consideration,Legal competency,Legal purpose,A,Contracts,General,Consent occurs only when the parties enter into the agreement voluntarily with full understanding of the contract terms.
examreview_103462980,94,Which of the following is a property requirement for CalVet loans?,"The property can be transferred, encumbered, or leased as the owner sees fit.",The property cannot be a mobile or manufactured home.,The property must be a unit in a planned unit development (PUD).,The property must be owner-occupied.,D,Financing,Government Programs,"CalVet requires the property be owner-occupied. The owner must receive permission from the California Department of Veterans Affairs if they wish to transfer, encumber, or lease the property."
examreview_103462980,95,"Daisy is a buyer who made an offer for an older house on three acres. Daisy reviewed the seller disclosures and ordered a professional home inspection. Based on the results of the inspection, which showed a number of latent defects that made Daisy uncomfortable, she decided to exercise her contractual right to cancel the agreement. What's NOT true about this situation?",Daisy is entitled to receive her earnest money back as long as she's formally canceled the purchase agreement within the time period specified in the contract contingency.,Daisy is obligated to give the seller a copy of the inspection report at no cost.,"If Daisy hadn't decided to cancel the agreement, she could have exercised her contractual right to request the seller make repairs to the property based on the inspection reports.",The seller is obligated to repair the defects identified in the inspection report before accepting any other offer.,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",Reports,"Daisy is entitled to get her earnest money back if she cancels the agreement according to the terms outlined in the RPA. The seller isn't obligated to make any repairs, although Daisy must provide the seller with a copy of the inspection report."
examreview_103462980,96,Seth is a licensee representing seller Dora. Which of these items is Seth required to disclose to prospective buyers about the property?,Dora doesn't use the back door because the steps leading to the yard are rotted.,Dora keeps sunflowers planted in the back yard because the local birds can eat the seeds.,The neighborhood kids like to ride their bikes in Dora's driveway.,The pink geraniums in the window boxes are fake.,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,None of these items is a material fact about the physical condition of the property except for the rotting steps by the back door.
examreview_103462980,97,Which of these is a contract between a client and agent to sell real property?,Contract for sale,Covenant,Deposit receipt,Listing agreement,D,Contracts,Listing Agreements,"Think of the listing agreement as the employment contract between the listing agent and client. All listings, however, belong to the brokerage."
examreview_103462980,98,What is the goal of real estate law?,Limit activities real estate professionals can perform,Limit the services consumers can obtain from real estate professions,Promote the interests of real estate professionals,"Protect and promote public safety, health, order, and welfare",D,"Practice of Real Estate and Disclosures, Including Specialty Areas",DRE Jurisdiction and Disciplinary Actions,Real estate law is designed to protect the public.
examreview_103462980,99,Which of the following statements best describes a listing that terminates by performance?,"Evan performed all required fiduciary duties and tasks in listing Von's house, even though it didn't sell before the listing expired.","Greg listed a property that failed to sell during the term of the listing agreement. Aside from that, he performed all the tasks promised to the seller.",Marty listed Todd's condo. With Marty's efforts they got almost to closing only to have the buyer's financing fall through.,"Roberto listed a property for Terrence. After two failed offers, the property made it to a successful closing. ",D,Laws of Agency and Fiduciary Duties,Termination of Agency,"No matter how well a licensee performs his tasks, a listing agreement is terminated by completion /performance only if it successfully closes."
examreview_103462980,100,"If an offer is accepted at 2 p.m. on Tuesday, August 4, when, according to the sales contract, does a deadline that falls ""five days after acceptance"" occur?","11:59 p.m., August 10","11:59 p.m., August 9","2 p.m., August 11","2 p.m., August 9",B,Contracts,Offers/Purchase Contracts,"Deadlines for ""days after"" fall at the end of the day, not including the day on which the event occurred, and days counted do not include weekends or holidays."
examreview_103462980,101,What happens when the termination date of a listing agreement is reached before the property is sold?,The listing agent may still try to sell the property.,The listing expires and is automatically terminated.,The seller can't extend the listing agreement,The seller owes the brokerage whatever compensation was noted in the listing agreement. ,B,Laws of Agency and Fiduciary Duties,Termination of Agency,A listing agreement automatically terminates on the end date noted in the agreement unless the seller agrees to extend it. It's generally not legal to include an automatic extension clause in a representation agreement.
examreview_103462980,102,Which of the following statements best describes the judicial foreclosure and sale process?,It's illegal in most states.,It's used in cases where something other than the property is used as collateral.,No court involvement is required.,The lender must seek the court's permission to foreclose on the property used as collateral for the loan. ,D,Transfer of Property,Transfer Through Court Supervision,"In a judicial foreclosure and sale process, the lender must seek the court's permission to foreclose on the property used as collateral for the loan."
examreview_103462980,103,"Fixtures usually stay with the property, whereas personal property goes with the seller. Which of these items would go with the seller?",Cabinets attached to the garage walls,Claw foot tub,Furniture,Garage door opener,C,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,Furniture is considered personal property and would go with the seller.
examreview_103462980,104,Which of these statements is true?,Buyers who need to sell their property before purchasing a new one should make the offer contingent on that sale.,It is highly unusual for buyers to make offers contingent on the sale of their property.,There is no buyer's sale contingency in California.,The Sale of Buyer's Property contingency form is a required addendum to all sales contracts. ,A,Contracts,Offers/Purchase Contracts,Buyers who need to sell their property before purchasing a new one should make the offer contingent on that sale.
examreview_103462980,105,Widget Corporation just bought land on which it plans to build a new manufacturing facility. How is the land owned?,It's a joint tenancy.,It's held as a tenancy in common.,It's owned as an estate in severalty.,There isn't enough information to tell.,C,Transfer of Property,Types of Vesting,Corporations are legal entities and hold property similar to the way a sole proprietor or an individual does: in severalty.
examreview_103462980,106,Rental properties that are less than ______ are exempt from the Tenant Protection Act of 2019.,15 years old,20 years old,25 years old,30 years old,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Property Management,"Properties less than 15 years old are exempt from the Tenant Protection Act. As a property ages, it may eventually fall under the acts regulations."
examreview_103462980,107,"Jeffrey has accepted an offer of $310,000 for his house. The buyer is making a $50,000 down payment, and the buyer's appraisal came in at $300,000. On what number will the buyer's lender base the loan-to-value ratio?","$249,000.00","$299,000.00","$300,000.00",There's no way to tell given the data provided.,C,Financing,General Concepts,Lenders use the lesser of the sales price or appraised value.
examreview_103462980,108,"A couple received a general warranty deed when they purchased their house from the previous owner. A couple of months after they moved in, their neighbor drove his four-wheeler across their property to access the lake front. The couple discovered that the previous owner and their neighbor agreed to an easement over the property several years earlier. Which general warranty deed covenant does this represent?",The covenant against encumbrances,The covenant of further assurances,The covenant of quiet enjoyment,The covenant of seisin,A,Transfer of Property,Deeds,The covenant against encumbrances assures the grantee that no encumbrances exist other than those that are publicly recorded or noted in the deed.
examreview_103462980,109,"After entering into a contract, an inspection revealed that the property has extensive roof damage. The seller declined to fix it, so the parties agreed to cancel the deal. What is this an example of?",Accepting liquidated damages,Accepting partial performance,Mutually rescinding the contract,Unilaterally rescinding the contract,C,Contracts,General,"In this example, the parties mutually rescinded the contract as a means of remedying the situation."
examreview_103462980,110,"Simon is a buyer represented by Peter. Peter shows Simon several homes currently on the market. What is Peter's relationship to the sellers, if he doesn't represent them?",Peter has no relationship with the sellers.,Peter is a fiduciary for the sellers.,The sellers are Peter's customers.,The sellers are Peter's principals.,C,Laws of Agency and Fiduciary Duties,"Law, Definition and Nature of Agency Relationships, Types of Agencies, and Agents","The sellers are Peter's customers; he doesn't owe fiduciary duties to them, but he is required to treat them with fairness and honesty."
examreview_103462980,111,Bradley provided his clients with a dual agency disclosure. He obtained his clients' signatures and provided copies to his clients. What step did he miss?,He did not make sure his clients understood the form before signing it.,He did not offer to also mail his clients a certified copy.,He did not receive his broker's permission.,"No steps; if he obtained signatures, he has done his job.",A,Laws of Agency and Fiduciary Duties,Disclosure of Agency,"Actually, obtaining signatures is not enough. Licensees must first make certain that clients understand what they are giving up in a dual agency situation before they sign the form."
examreview_103462980,112,What type of contract has terms that have not been completed?,Bilateral contract,Executed contract,Executory contract,Unilateral contract,C,Contracts,General,"In an executory contract, one or more of the contract's terms is yet to be completed."
examreview_103462980,113,Connie is a new licensee and has just entered into an agency relationship after obtaining a signed agency disclosure from her new client. What must Connie do now?,Give a copy to her client and retain the form for three years,Have the form notarized and provide a copy to her client,Record the document with the county,"Shred the document, as it contains financial information",A,Laws of Agency and Fiduciary Duties,Disclosure of Agency,Signed agency disclosures must be retained for three years; a copy must also be provided to the client.
examreview_103462980,114,"What phrase is or words are required on a deed and are considered an ""act of conveyance?""","""Between ____ and ____.""","""Forever and always""","""Grant and convey""","""Witnesseth and acknowledged""",C,Transfer of Property,Deeds,"The phrase ""grant and convey,"" or either word, must be on a deed as a part of the granting clause and is considered an act of conveyance."
examreview_103462980,115,Which document establishes path and proof of ownership?,Abstract of title,Chain of title,Deed,Title insurance,B,Transfer of Property,Title Insurance,The chain of title document establishes the path and proof of ownership.
examreview_103462980,116,"Andrew and Roberta have signed an agreement that gives Andrew the right to buy Roberta's condo for $200,000, if he chooses to do so, up until April 2, 2018. What is this agreement called?",A bilateral contract,A lease,An option,A purchase and sale agreement,C,Contracts,Purchase/Lease Options,"The option is unilateral because only one party has the right to exercise the option. That party must do so within a specified time period, called the ""option period."""
examreview_103462980,117,"When prices go down because there are too many homes on the market and too few buyers, what economic principle is at work?",Competition,Conformity,Progression,Regression,A,Property Valuation and Financial Analysis,Value,"Competition is related to supply and demand. Multiple similar properties on the market create competition, causing a decrease in value (lower prices) because the supply exceeds demand. Fewer homes on the market means less competition, increasing demand and driving prices upward."
examreview_103462980,118,"In the sales comparison approach, which of these are selected and evaluated both quantitatively and qualitatively against the subject property?",Alternatives,Comparables,Conformables,Substitutions,B,Property Valuation and Financial Analysis,Methods of Estimating Value,"When sizing up the competition to the subject in the marketplace, comparable properties must be selected and compared both qualitatively and quantitatively."
examreview_103462980,119,"A contract specified that the refrigerator and stove would be included in the sale, but the seller took the refrigerator. The buyer went through with the sale anyway. This is an example of ______ of the contract.",Partial performance,Performance,Reinforcement,Voiding,A,Contracts,General,"Partial performance occurs when one of the contract's parties does some, but not all, of what the party has agreed to do."
examreview_103462980,120,"In which phase of the real estate market would you expect to see properties selling for more than they're worth, many buyers in the market, and lots of new construction?",Expansion,Over supply,Recession,Recovery,B,Property Valuation and Financial Analysis,Value,"Over supply is a phase that sees homes selling for more than their value. There are lots of buyers and lots of construction trying to keep up with the demand. This phase can't be sustained, and eventually the market heads toward a recession."
examreview_103462980,121,What is a contingency?,A condition,A deadline,A promise,A warranty,A,Contracts,Offers/Purchase Contracts,"Although contingencies generally have deadlines, they serve as conditions placed on the original agreement. The buyer makes the offer subject to certain conditions, called contingencies."
examreview_103462980,122,Which category of appraiser must be supervised by a certified appraiser and can assist on any appraisals their supervisor can perform?,Certified general appraiser,Certified residential appraiser,Residential license,Trainee license,D,Property Valuation and Financial Analysis,Methods of Estimating Value,This is a trainee licensee. These appraisers are just getting started. They work under the supervision of a certified appraiser to gain the experience needed for other levels of appraisal licenses.
examreview_103462980,123,To which of these individuals does California licensee Nadine owe the duty of reasonable skill and care rather than utmost skill and care?,"Don, a seller, and Betty, a buyer, who have agreed to use Nadine as the dual agent in their transaction","Fred, the buyer offering for Ruby's house, who is represented by another licensee","Nicholas, Nadine's buyer client","Ruby, Nadine's seller client",B,Laws of Agency and Fiduciary Duties,Responsibilities of Agent to Non-Client Third Parties,"Nadine owes customers in a transaction, like Fred, the duty of reasonable skill and care, and she owes her clients the duty of utmost skill and care."
examreview_103462980,124,Marcy's offer on a home was accepted! Which party will be contacting her about arranging an appraisal?,The closing attorney,The lender,The seller's agent,The title insurance representative,B,Property Valuation and Financial Analysis,Methods of Estimating Value,Lenders order appraisals before agreeing to underwrite a loan. A lender won't finance the purchase of a property used for collateral unless the underlying value meets the lender's underwriting standards.
examreview_103462980,125,"What does the Financial Institutions Reform, Recovery, and Enforcement Act require?",Federally related appraisals must be conducted by an appraiser who's either licensed or certified by the state.,Federally related transactions need not be appraised.,Non-federally related transactions must be appraised by government employees.,Real estate licensees who perform appraisals must have a federal security clearance.,A,Property Valuation and Financial Analysis,Methods of Estimating Value,FIRREA states that federally related appraisals must be conducted by an appraiser who's either licensed or certified by the state.
examreview_103462980,126,Marco is anxious to buy a home and is willing to waive the inspection contingency. Do you still need to provide him with a Buyer's Inspection Advisory?,"No, because the form is only used for short sales.","No, because to do so would constitute disobeying your client's wishes.","Yes, because Marco should still be advised of the reasons inspections are needed.","Yes, because the Buyer's Inspection Advisory is a prerequisite for waiving the inspection contingency. ",C,Contracts,Offers/Purchase Contracts,The Buyer's Inspection Advisory should still accompany the purchase contract even if the buyer is willing to waive the contingency.
examreview_103462980,127,Katy's home that was listed for sale was destroyed by fire. Under which of these methods will her listing agreement terminate?,Completion,Expiration,Force of law,Mutual agreement,C,Laws of Agency and Fiduciary Duties,Termination of Agency,The listing agreement in this situation will terminate based on force of law (destruction of property).
examreview_103462980,128,"Jerome has four grown children. When he dies, he leaves his home to all four children, making them tenants in common with equal shares. One child wants to live in the house, another wants to use it as investment property, and two others want to sell it and take the cash. When they can't agree on a solution, they end up in court and the property is ______.",Deeded by appointment,Foreclosed,Partitioned,Transferred via intestate succession,C,Transfer of Property,Transfer Through Court Supervision,"If tenants in common can't agree on the disposition of a property, they may end up with a court order to partition the property either physically or economically after a sale."
examreview_103462980,129,"Parcels of land are valued at $50,000 each. However, when two of the parcels are joined, they are valued at $120,000. What economic principle is at work here?",Anticipation,Contribution,Plottage,Progression,C,Property Valuation and Financial Analysis,Value,Plottage is an increase in property value when two neighboring parcels of land are joined together.
examreview_103462980,130,Which of the following is the most serious consequence of treating a customer as a client?,Breaching your duty to your actual client,Drumming up potential business,Wasting your time,Working for someone for free,A,Laws of Agency and Fiduciary Duties,Responsibilities of Agent to Non-Client Third Parties,"If you treat a customer as a client, you could breach your duty to your client. For instance, if you provided client-level service to a buyer interested in your seller's listing, you'd be breaching the duty of undivided loyalty to the seller."
examreview_103462980,131,"A seller signed a six-month listing agreement with a licensee on February 12. By September, the property hadn't been sold. What's the status of the listing agreement?",The agent can renounce the listing because the seller refused to listen to reason about the sales price.,The listing agreement expired in August.,The seller and listing agent can mutually agree to terminate the agreement.,The seller can revoke the agreement because the listing agent didn't sell the property.,B,Laws of Agency and Fiduciary Duties,Termination of Agency,A six-month agreement signed on February 12 would expire in August.
examreview_103462980,132,What's the first step an appraiser will perform when conducting an appraisal?,Estimate the value of the land.,Gather and analyze data.,Identify the data that's needed.,State the problem.,D,Property Valuation and Financial Analysis,Value,"The first step is to state the problem so the appraiser can identify what data is needed. After that, the appraiser will identify the data needed, then gather and analyze it."
examreview_103462980,133,Janice is a licensee with a buyer client who just found a great house. Which of the following is she NOT required to disclose to her client?,She co-owns the property.,She knows the house was damaged in a severe fire two years ago.,She lives two blocks away.,The owner is her brother-in-law.,C,Laws of Agency and Fiduciary Duties,Disclosure of Acting as Principal or Other Interest,"Conflicts of interest, which include personal and ownership relationships, must be disclosed to all parties. Known material facts must also be disclosed. Living a few blocks away is not considered a conflict of interest or a material fact."
examreview_103462980,134,"If a listing agent is interested in purchasing her own listing, what must that agent do?",Disclose to the seller that the agent is interested in purchasing the property.,Hold any other offers so the seller accepts the listing agent's offer.,Price the property above fair market value so the seller gets a better deal.,Price the property below fair market value so the agent gets a better deal.,A,Laws of Agency and Fiduciary Duties,Disclosure of Acting as Principal or Other Interest,"In cases such cases, the agent must disclose immediately to the seller that the agent has an interest in the property. The agent must also properly market and fairly price the property just as she would any other listing."
examreview_103462980,135,Which of the following is the price a lender believes the property will bring at a foreclosure sale?,Insured value,Investment value,Mortgage value,Value in use,C,Property Valuation and Financial Analysis,Value,"Lenders won't lend on what they can't recoup. Therefore, the loan amount will be based on what a lender would hope to recoup, should a foreclosure sale be necessary."
examreview_103462980,136,What type of valuation would be the best to use when appraising new construction?,Cost,Income capitalization,Liquidation value,Sales comparison,A,Property Valuation and Financial Analysis,Methods of Estimating Value,"The cost approach to finding appraised value measures value as a cost of production, including the acquisition of the land and the construction costs."
examreview_103462980,137,"A development company specializes in constructing new, energy-efficient houses. What is the best approach for an appraiser to use when appraising these homes?",Appraisal process,Cost approach,Income approach,Sales comparison approach,B,Property Valuation and Financial Analysis,Methods of Estimating Value,"he cost approach is the best method to determine the cost of acquiring the land and new construction, since comparables would not be available."
examreview_103462980,138,Which one of the following actions would result in the legal termination of an agency agreement?,The client wants the seller to make improvements to the property.,The client wants to attach an addendum to the sales contract.,There's an unexpected death in the agent's family.,The term specified in the agency agreement expired.,D,Laws of Agency and Fiduciary Duties,Termination of Agency,"If the specified term in the agency agreement expires, the agency agreement would be terminated."
examreview_103462980,139,"Javier represents Marcus, who's selling his rental property to Ben. Ben is represented by another real estate licensee, Francis. What is Ben's relationship to Javier?",Client and fiduciary,Customer,Customer and client,Fiduciary,B,Laws of Agency and Fiduciary Duties,"Law, Definition and Nature of Agency Relationships, Types of Agencies, and Agents",Ben is both a principal (as a party to the transaction) and Javier's customer. Ben isn't Javier's client.
examreview_103462980,140,Which of the following describes a universal agent?,Buyer's agent,Conservator,Escrow officer,Listing agent,B,Laws of Agency and Fiduciary Duties,"Law, Definition and Nature of Agency Relationships, Types of Agencies, and Agents","A universal agent has broad authority to act on behalf of the principal, such as a person with a power of attorney or a conservator. A special or specific agent has limited scope of authority."
examreview_103462980,141,Which of these is NOT a duty that California licensees owe to the non-client principals in a transaction?,Disclosure of material facts,"Honesty, fairness, and good faith",Loyalty,Reasonable skill and care,C,Laws of Agency and Fiduciary Duties,Responsibilities of Agent to Non-Client Third Parties,"State law requires licensees to fulfill certain duties for non-client principals in a transaction. These include reasonable skill and care, honesty, fairness, good faith, and full disclosure of material facts. Loyalty is owed only to clients."
examreview_103462980,142,For how long must a licensee retain a signed agency disclosure?,Forever,For one year after the agency relationship ends,For three years,Until the agency relationship ends,C,Laws of Agency and Fiduciary Duties,Disclosure of Agency,Signed agency disclosures must be retained for three years.
examreview_103462980,143,"You have an agency agreement with Sam to list his property for sale. Because of this, what is Sam's relationship to you?",Client,Confidante,Customer,Friend,A,Laws of Agency and Fiduciary Duties,"Law, Definition and Nature of Agency Relationships, Types of Agencies, and Agents","An agency agreement exists, which makes Sam your client."
examreview_103462980,144,"You have an agency agreement with Sam to list his property for sale. Because of this, what is Sam's relationship to you?",Client,Confidante,Customer,Friend,A,Laws of Agency and Fiduciary Duties,"Law, Definition and Nature of Agency Relationships, Types of Agencies, and Agents","An agency agreement exists, which makes Sam your client."
examreview_103462980,145,You're on a planning board that's discussing how to keep the city more livable by reducing building density. The subject of bulk zoning comes up. What is your response?,"""That applies to commercial areas only.""","""That's a great way to meet our objectives.""","""That's crazy. We're trying to reduce density, not increase it.""","""That will work for residential areas, but what about commercial?""",B,Property Ownership and Land Use Controls and Regulations,Public Controls,"Your response should be, ""That's a great way to meet our objectives."" Bulk zoning can apply to both residential and commercial zones, and it doesn't increase density."
examreview_103462980,146,"What makes a ""Choose Your Neighbor"" marketing letter potentially discriminatory?","It limits the availability of the property for sale to those who are ""pre-approved"" by neighbors.",It prevents illiterate neighbors from participating in selection of buyers.,The letters don't allow neighbors to agree on the actual buyer.,There's no requirement for the number of neighbors who receive the letter.,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Servicing Diverse Populations,"The ""Choose Your Neighbor"" marketing letter is discriminatory when it limits or restricts the type of buyers who have access to the property."
examreview_103462980,147,A developer wants to turn a 20-acre parcel of land in a residential zoning area into condominiums. The town is considering rezoning that parcel to allow the development because the developer plans to include a public park and walking trail. What kind of zoning is this?,Aesthetic zoning,Downzoning,Incentive zoning,Spot zoning,C,Property Ownership and Land Use Controls and Regulations,Public Controls,Incentive zoning occurs when a municipality allows a property owner to proceed with an otherwise- prohibited type of construction in return for improvements that will benefit the community.
examreview_103462980,148,Neighbors sign an agreement promising to only sell to parents with small children. This contract can't be enforced because it's missing ______.,Consideration,Legally competent parties,Legal purpose,Offer and acceptance,C,Contracts,General,This discrimination is a fair housing violation. Legal purpose means that contracts must be written for a lawful objective. A contract for an illegal purpose is void.
examreview_103462980,149,What type of lien is established when a homeowner seeks to expand their home by obtaining a home equity loan?,Involuntary and general,Involuntary and specific,Voluntary and general,Voluntary and specific,D,Property Ownership and Land Use Controls and Regulations,Encumbrances,A home equity loan creates a voluntary lien because the homeowner consents to the lien. It is specific because it is attached to only one property.
examreview_103462980,150,"What's the name of the clause in a promissory note where this language appears: ""If the Note Holder has not received the full amount of any monthly payment by the end of ______ calendar days after the date it is due, I will pay a late charge to the Note Holder""?",Fees and additional charges clause,Late charge provision,Lock-in clause,Prepayment provision,B,Contracts,Promissory Notes/Securities,The late charge provision includes statements describing the borrower's responsibility to pay a fee if the monthly payment is late.
